word,count
covid,1098
health,643
world,392
lives,385
safe,371
change,326
pandemic,278
crisis,272
children,264
women,260
emergency,247
spread,236
mask,230
public,230
water,215
covid,5636
health,3019
black,2024
change,1755
vaccine,1691
world,1685
safe,1652
pandemic,1471
public,1461
lives,1353
climate,1328
children,1211
education,1111
video,1076
school,1070
