paid_for_by,count
Doctors Without Borders/Médecins Sans Frontières (MSF),122
WWF UK,63
UNHCR Canada,61
PVDA,60
Nature Canada,60
Liberal Party of Canada | Parti libéral du Canada,56
UNICEF Canada,55
Ontario Liberal Party / Parti Libéral de l'Ontario,52
Amnesty International UK,49
Plan International Canada,45
