paid_for_by,count
Alexandria Ocasio-Cortez for Congress,2
Planned Parenthood Action Fund.,2
Indivisible Action,2
American Medical Association,2
Planned Parenthood Federation of America,1
Brut,1
NA,1
International Rescue Committee,1
FWD.us,1
The Women's Building NYC,1
