period,word,count
2020-12,covid,1098
2020-12,health,643
2020-12,christmas,513
2020-12,community,496
2020-12,families,397
2020-12,world,392
2020-12,lives,385
2020-12,safe,371
2020-12,protect,358
2020-12,last,341
2021-2,covid,2894
2021-1,covid,2572
2021-2,community,1744
2021-2,health,1529
2021-2,black,1475
2021-1,health,1385
2021-1,community,1299
2021-2,future,1067
2021-2,vaccine,914
2021-2,government,904
